data,gender,universityType,courseAreaGeneral,courseName,parentsEducation,basicSchoolType,childhoodHobbiesTime,childhoodMainActivities,currentCourseDesired,currentCourseIdentification,familyInfluence,motivesOrder,societalContribution,financialReturn,financialReturnTime,courseAvailability,familyInCourseArea,futureProfessionalSelf,stemCareerInterest,stemCareerEverInterest,stemCareerDesistanceReason,schoolExactInterestByGender,preCollegeExactInterestLevel,familySchoolPerformanceValue,teacherPerformanceValue,scienceReference,admiredExactTeachersGender,lostInterestExactSciences,mainReasonLeavingSTEM,feltSTEMNotForMeEver,feelingExcludedTech,feelingExcludedExact,familyStudyIncentive,activityGenderRestriction,professionsByGenderOpinion,professionSuitabilityOpinion
27/08/2025 07:52:49,genero-masculino,undergraduate,exatas,Ciência da computação ,medio-incompleto,privado-publico,as-vezes,"brincar-esportes,jogar-videogame",nao-primeira-opcao,sim-parcialmente,sim-em-parte,"Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Poucas opções disponíveis no momento da escolha,Indecisão: escolhi por não saber o que queria fazer,Afinidade com a área / interesse pessoal pelos temas do curso,Influência de familiares (pais, responsáveis, parentes),Identificação com o tipo de profissional que atua na área,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso,Pressão familiar para escolher determinada área,Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho)",contribuicao-nao-importante,alguma-influencia,retorno-demorado,falta-opcoes,primeiro-da-familia,4,4,nao,,meninos,algum-interesse,valorizava-eventualmente,tratavam-neutro,Sagan,masculino,nunca-tive-interesse,nao-era-pra-mim,sim-ja-senti,2,3,4,1,3,2
27/08/2025 08:43:18,genero-feminino,undergraduate,exatas,Ciência da computação ,fundamental-completo,publico-publico,sim-tempo-apoio,"brincar-esportes,desenhar-pintar",nao-primeira-opcao,sim-parcialmente,sim-em-parte,"Afinidade com a área / interesse pessoal pelos temas do curso,Influência de familiares (pais, responsáveis, parentes),Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.)",contribuicao-importante,principal-fator,retorno-demorado,falta-opcoes,uma-pessoa-proxima,4,4,sim,nao-desisti,meninos,muito-interesse,valorizava-muito,maioria-valorizava,Ada Lovelace,ambos,sim-perdi,nunca-afastado,sim-ja-senti,2,2,5,4,1,1
27/08/2025 08:43:37,genero-masculino,undergraduate,exatas,Ciência da computação ,medio-completo,publico-publico,as-vezes,"ler-livros,jogar-videogame,brincar-esportes",desde-medio,sim-parcialmente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Identificação com o tipo de profissional que atua na área",contribuicao-nao-importante,principal-fator,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,4,sim,nao-desisti,meninos,muito-interesse,valorizava-muito,alguns-valorizavam, ,ambos,sim-perdi,nunca-afastado,nunca-pensei,3,3,4,2,4,1
27/08/2025 08:45:42,genero-feminino,undergraduate,exatas,Ciência da computação ,superior-completo,publico-privado,as-vezes,"brincar-esportes,jogar-videogame",desde-medio,sim-completamente,nao-baseado-no-que-queria,"Identificação com o tipo de profissional que atua na área,Expectativa de boa remuneração ou estabilidade financeira,Afinidade com a área / interesse pessoal pelos temas do curso",contribuicao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,mais-de-uma-pessoa,5,5,sim,nao-desisti,meninos,muito-interesse,valorizava-moderadamente,maioria-valorizava,Marie Curie ,feminino,sim-perdi,nao-era-pra-mim,sim-ja-senti,3,2,5,2,1,4
27/08/2025 08:46:29,genero-masculino,undergraduate,exatas,Ciência da computação ,medio-completo,publico-publico,as-vezes,"jogar-videogame,desenhar-pintar,brincar-esportes",desde-medio,sim-parcialmente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho),Expectativa de boa remuneração ou estabilidade financeira,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso",contribuicao-nao-importante,principal-fator,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,3,nao-tenho-certeza,,meninos,pouco-interesse,valorizava-moderadamente,alguns-valorizavam,.,masculino,sim-perdi,nao-era-pra-mim,sim-ja-senti,2,4,4,1,2,3
27/08/2025 08:47:54,genero-masculino,undergraduate,exatas,Ciência da Computação (Bacharelado),fundamental-incompleto,publico-publico,as-vezes,"jogar-videogame,brincar-esportes,ler-livros",desde-fundamental,nao-sabia,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área,Expectativa de boa remuneração ou estabilidade financeira,Indecisão: escolhi por não saber o que queria fazer",contribuicao-nao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,primeiro-da-familia,4,5,nao-tenho-certeza,,meninas,algum-interesse,valorizava-muito,maioria-valorizava,Stephen Hawking,feminino,sim-perdi,dificuldade-conteudo,sim-ja-senti,3,4,2,3,3,2
27/08/2025 08:48:23,genero-feminino,undergraduate,exatas,Ciência da computação ,superior-completo,publico-privado,as-vezes,"brincar-esportes,jogar-videogame,desenhar-pintar",nao-primeira-opcao,sim-completamente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira",contribuicao-nao-importante,principal-fator,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,4,sim,nao-desisti,meninos,muito-interesse,valorizava-muito,alguns-valorizavam,Marie curie,masculino,sim-perdi,nao-era-pra-mim,sim-ja-senti,4,4,2,4,1,4
27/08/2025 08:49:11,genero-masculino,undergraduate,exatas,ciência da computação ,fundamental-completo,publico-publico,as-vezes,"jogar-videogame,brincar-esportes",nao-primeira-opcao,sim-completamente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.)",contribuicao-nao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,uma-pessoa-proxima,5,5,sim,nao-desisti,nao-diferenca,muito-interesse,valorizava-moderadamente,maioria-valorizava,. ,nenhum,sim-perdi,dificuldade-conteudo,sim-ja-senti,3,3,5,2,1,2
27/08/2025 08:52:22,genero-feminino,undergraduate,exatas,Ciência da Computação ,pos,privado-publico,sim-tempo-apoio,"jogar-videogame,desenhar-pintar,brincar-esportes",desde-medio,sim-completamente,sim-em-parte,"Afinidade com a área / interesse pessoal pelos temas do curso,Influência de familiares (pais, responsáveis, parentes),Expectativa de boa remuneração ou estabilidade financeira",contribuicao-nao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,uma-pessoa-proxima,5,5,sim,nao-desisti,nao-diferenca,algum-interesse,valorizava-moderadamente,alguns-valorizavam,.,ambos,nao-perdi,dificuldade-conteudo,nao-nunca-senti,3,2,5,5,2,3
27/08/2025 08:53:02,genero-feminino,undergraduate,exatas,Ciência da computação ,medio-completo,privado-privado,as-vezes,"desenhar-pintar,jogar-videogame,ler-livros",desde-medio,sim-completamente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área,Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso",contribuicao-nao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,primeiro-da-familia,4,4,sim,nao-desisti,nao-diferenca,muito-interesse,valorizava-moderadamente,alguns-valorizavam,Marie Curie,masculino,nao-perdi,dificuldade-conteudo,sim-ja-senti,2,3,1,2,1,1
